PID,Course ID,Subject Code,Title,Description,Credits,Prerequisites,Corequisites,Recommendations,Notes
SynEADT7N,BIOL336,BIOL,Biology of Algae,"A survey of aquatic and terrestrial algal diversity, with special emphasis on marine algae. Evolution, ecology, physiology, cell biology, and technological applications of algae. Laboratories include observations of microscopic and macroscopic algal specimens, an individual project, and local field trips to coastal marine environments.",1.5,Complete all of: BIOL215 - Principles of Ecology (1.5) BIOL225 - Principles of Cell Biology (1.5),,,"Credit will be granted for only one of BIOL 336, BIOL 203, BIOL 323."
SyCERwp74,BIOL345,BIOL,Animal Behaviour,"Evolutionary and comparative analyses of animal behaviour. Topics include foraging behaviours, evolution of sex, mate choice, sociality, empathy, conflict and play, nature/nurture controversies, sensory modalities, communication and the evolution of language, hemispheric dominance and laterality, taxonomic diversity of nervous systems, proximate and ultimate mechanisms for interpreting behaviour. Laboratory includes observational and experimental approaches to behaviour of representative invertebrate and vertebrate taxa and a field research project.",1.5,Complete all of the following Complete 1 of: BIOL184 - Evolution and Biodiversity (1.5) BIOL190B - General Biology II (1.5) Complete 1 of: BIOL186 - Physiology and Cell Biology (1.5) BIOL190A - General Biology I (1.5) minimum third-year standing Complete 1 of the following Complete all of: BIOL215 - Principles of Ecology (1.5) declared Honours or Major in Anthropology or declared Honours or Major in Combined Biology and Psychology.,,,Students with credit in MRNE 446 may take this course for credit.
BygyHCv6mE,BIOL351,BIOL,The Biology behind the News,"An examination of the biological science that bears on current environmental, social, ethical and political issues. Emphasis on how an understanding of the science might inform decision-making by individuals and groups.",1.5,Minimum third-year standing.,,,Credit for this course will not be counted toward any Biology program requirement except as an elective.
SkgBCDa7E,BIOL355,BIOL,Evolution,"Evolutionary processes and the spatial and temporal patterns they produce. Natural selection, genetic drift and other microevolutionary processes; the basis of morphological and molecular change; species and speciation; macroevolution; phylogeny reconstruction; origin of life.",1.5,Complete all of: BIOL230 - Principles of Genetics (1.5),,,"Credit will be granted for only one of BIOL 355, BIOL 455."
HyeZSRDaQE,BIOL361,BIOL,Molecular Genetics and Genomics,"Naturally occurring and induced genetic mutations leading to phenotypic variation within and among species in a diversity of eukaryotic taxa. Regulation of transcription and translation (including small regulatory RNAs), protein-protein interactions, molecular mechanisms of tumor formation, genome structure and mobile genetic elements, and functional genomics.",1.5,Complete all of the following Complete all of: BIOL230 - Principles of Genetics (1.5) Complete 1 of the following Complete all of: BIOC299 - Biochemistry for Non-Majors (1.5) Completed or concurrently enrolled in all of: BIOC300A - General Biochemistry I (1.5) BIOC300B - General Biochemistry II (1.5),,,
B1MrRPa74,BIOL365,BIOL,Animal Physiology,"Fundamentals of animal physiological systems: principles of cellular and organismic homeostasis, nutrition, digestion, salt/water balance, respiration, circulation, muscle contraction, excitable membranes, sensory systems, brain functions, hormones, reproduction. Laboratory includes study of live animals.",1.5,Complete all of the following Complete 1 of the following Complete all of: BIOL184 - Evolution and Biodiversity (1.5) BIOL186 - Physiology and Cell Biology (1.5) Complete all of: BIOL190B - General Biology II (1.5) Complete all of: BIOL225 - Principles of Cell Biology (1.5) minimum third-year standing.,,,"Credit will be granted for only one of BIOL 365, BIOL 305A, BIOL 305B."
H1JSAvpm4,BIOL346,BIOL,Freshwater Ecosystems,"Provides a basic understanding of the geological, physical, chemical, and biological processes that form and maintain lake and reservoir ecosystems. Covers both theoretical and applied aspects of freshwater ecology, and discusses the studies and experiments that have been used to test important theories and applications. Also covers anthropogenic and environmental threats to and impacts on freshwater ecosystems.",1.5,Complete 1 of: BIOL215 - Principles of Ecology (1.5) ES240 - Ecological Processes (1.5) GEOG272 - Climatology and Hydrology (1.5),,,
rkgS0PamN,BIOL359,BIOL,"Food, Disease and People","Microorganisms and their role in human societies today and in the past. Microorganisms in fermentation of food (cheese, sourdough bread) and beverages (wine, beer) but also in foodborne and non-foodborne diseases (listeriosis, plague). Aspects of growth, genetics, evolution and ecology of microorganisms as part of food and diseases with an emphasis on bacteria and their classification. Importance of microorganisms in trade and history.",1.5,Minimum third-year standing.,,,Credit for this course will not be counted toward any Biology program requirement except as an elective.
rymHADpXV,BIOL366,BIOL,Plant Physiology,"Principles of plant physiology: photosynthesis, water relations, ion uptake, translocation, carbohydrates, nitrogen and lipid metabolism, phenolics, phytohormones, tropisms, phytochromes.",1.5,Complete all of: BIOL225 - Principles of Cell Biology (1.5),,BIOL 324 recommended prior to BIOL 366.,"Credit will be granted for only one of BIOL 366, BIOL 331A, BIOL 331B."
B1ZS0vpQN,BIOL360,BIOL,Cell Biology,"Structure and function of animal and plant cells and tissues, membrane structure, transport, cellular compartments, cytoskeleton, cell growth and division, cell adhesion, extracellular matrix, tissue organization and renewal.",1.5,Complete all of the following Complete 1 of the following Complete all of: BIOL230 - Principles of Genetics (1.5) Complete all of: BME200 - Molecular and Cellular Physiology for Engineers (1.5) BME201 - Quantitative Human Physiology (1.5) Complete 1 of the following Complete all of: BIOC299 - Biochemistry for Non-Majors (1.5) Completed or concurrently enrolled in 1 of: BIOC300A - General Biochemistry I (1.5) BIOC300B - General Biochemistry II (1.5),,,
Sy-WHRv67E,BIOL362,BIOL,Practical Skills in Genomics,"An introduction to advanced experimental techniques in molecular biology and genomics. Course includes nucleic acid (DNA) isolation, polymerase chain reaction (PCR), DNA quality control, next generation DNA sequencing, computer-based analysis of large scale nucleotide sequence data such as DNA sequence assembly and mapping, BLAST searches, multiple sequence alignment, taxonomic assignment, and phylogenetic analyses. Student-collected data from one or more lab projects will be used to develop skills in contemporary genomics research and in scientific manuscript writing.",1.5,Complete all of: BIOL230 - Principles of Genetics (1.5),,BIOL 361 recommended prior to BIOL 362.,
BJQr0vpm4,BIOL367,BIOL,Neurobiology: Molecules to Behaviour,"Cellular and molecular biology of excitable cells and mechanisms of intercellular communication. Evolution and functional organization of central nervous systems. Motor systems and mechanisms of coordination. Sensory biology. Interactions of genes, development, and experience in molding nervous systems and behaviour.",1.5,Complete 1 of: BIOL360 - Cell Biology (1.5) BIOL365 - Animal Physiology (1.5) BME200 - Molecular and Cellular Physiology for Engineers (1.5) BME201 - Quantitative Human Physiology (1.5),,,"Credit will be granted for only one of BIOL 367, BIOL 409A. Students with credit in PSYC 345A or PSYC 323 may take BIOL 360 or BIOL 365 as a pre- or corequisite."
Sy4SCwTXE,BIOL370,BIOL,Conservation Biology,"Diversity of organisms, functioning of ecosystems, and the impact of human activities on these. Topics include the nature of biological diversity; extinction and its cause; habitat alteration and fragmentation; effects of exotic species; economic and ethical considerations; practical applications and analytical tools; and legal frameworks for conserving species and habitats.",1.5,Complete all of the following Complete 1 of: BIOL186 - Physiology and Cell Biology (1.5) BIOL190A - General Biology I (1.5) Complete all of: BIOL215 - Principles of Ecology (1.5) BIOL230 - Principles of Genetics (1.5) Complete 1 of: STAT255 - Statistics for Life Sciences I (1.5) STAT260 - Introduction to Probability and Statistics I (1.5),,,"Credit will be granted for only one of BIOL 370, ER 313, ES 318, ES 320, ES 348. May be counted toward the Concentration in Marine Biology if it has substantial marine content and with permission of the Biology Department."
HyVrAv6QE,BIOL400,BIOL,History of Biology,"The historical development of the major techniques and ideas of biology, including the significance of the important historical contributors to biology.",1.5,Minimum third-year standing.,,,Only one of BIOL 400 and BIOL 489 may be counted as an upper-level credit toward degree programs in Biology.
S1rS0PpmE,BIOL401A,BIOL,Biotechnology,"The tools of molecular biology and biotechnology (including the enzymes, cloning vectors and cloning strategies used in recombinant DNA technology, as well as the origins of these tools), and the application of genetic engineering to medicine, agriculture, forestry, forensic science and related areas. Lectures also include bioethics and the impact of biotechnology on society.",1.5,,,,
SyIrAvpQ4,BIOL404,BIOL,Sensory Biology,"Explores the neural mechanisms underlying sensory systems: sensory receptor coding logic; signal transduction; neuronal circuitry; comparative analysis of model organisms. Related clinical disorders and therapeutic strategies are also discussed. A large emphasis is placed on the primary literature highlighting major advances in the field, aimed at building skills for designing experiments to test specific hypotheses.",1.5,Complete 1 of: BIOL365 - Animal Physiology (1.5) BIOL367 - Neurobiology: Molecules to Behaviour (1.5) BIOL409A - Neurobiology: Molecules to Behaviour (1.5),,,
SJl8RPamN,BIOL418,BIOL,Forest Ecology,"Structure and function of forest ecosystems at the tree, stand and landscape scale, including: effects of the environment upon plant abundance, distribution and diversity; nutrient, carbon and water cycles; population and community ecology; disturbance; forest conservation; climate change and global forests.",1.5,Complete all of the following Complete all of: BIOL215 - Principles of Ecology (1.5) minimum third year standing.,,BIOL 324 recommended prior to BIOL 418.,
ryjURDTQE,BIOL436,BIOL,Human Molecular Genetics,"Survey of the organization, structure/function, and mapping of the human genome; the biochemical and molecular basis, screening, prevention, and treatment of various human diseases, including cancer.",1.5,Complete all of the following Complete all of: BIOL225 - Principles of Cell Biology (1.5) BIOL230 - Principles of Genetics (1.5) Complete 1 of: BIOL361 - Molecular Genetics and Genomics (1.5) BIOC300A - General Biochemistry I (1.5) BIOC300B - General Biochemistry II (1.5) or permission of the department.,,,
HJ5rADTQN,BIOL409B,BIOL,Experimental Neurobiology,"Laboratory investigations of the neural basis of behaviour. Selected sensory and motor systems studied at the cellular, neuronal circuit, and whole animal levels. Techniques include extracellular and intracellular recording and stimulation; anatomical tracing of neuronal pathways; computerized acquisition and analyses of electrophysiological data.",1.5,Complete all of: BIOL367 - Neurobiology: Molecules to Behaviour (1.5) or permission of the department.,,,
rJk80vaXN,BIOL415C,BIOL,Mycology,"The diversity and ecology of fungi. Topics include: fungal molecular genetics, the role of fungi in ecosystem function, beneficial and pathogenic fungi in forests, and the importance of fungal biochemistry in industrial processes and human activities.",1.5,Complete all of: BIOL215 - Principles of Ecology (1.5) BIOL225 - Principles of Cell Biology (1.5) BIOL230 - Principles of Genetics (1.5),,,"Credit will be granted for only one of BIOL 415C, BIOL 415, BIOL 415A, BIOL 415B, BIOL 470 (if taken in the same topic), FORB 515. A combined undergraduate and graduate course."
Byes8CD674,BIOL438,BIOL,Nutrient Cycling and Prokaryotes,"An introduction to prokaryotes (bacteria and archaea) and their role in nutrient cycling in forests, lakes and oceans. Diversity and evolution of populations and communities of prokaryotes and their role in the major biogeochemical cycles: carbon, nitrogen, sulfur. Genetic, biochemical, physiological and ecological aspects of processes such as nitrogen fixation and methanogenesis; design of experimental approaches to assess cycling of elements in forests, lakes and oceans by prokaryotes.",1.5,Complete 1 of the following Complete 2 of: BIOL215 - Principles of Ecology (1.5) BIOL225 - Principles of Cell Biology (1.5) BIOL230 - Principles of Genetics (1.5) Complete all of: MICR200A - Introductory Microbiology I (1.5) MICR200B - Introductory Microbiology II (1.5) or permission of the department.,,,
rJedUCPTmE,BIOL432,BIOL,Molecular Endocrinology,"Basic and molecular aspects of endocrinology. Brain hormones and their precursors, insulin and its receptor, gene-associated peptides, new glycoprotein hormones, growth factors, steroids, the superfamily of steroid and thyroid receptors, pheromones, oncogenes, immunoendocrinology and environmental endocrinology. Lectures and presentations of scientific papers.",1.5,Complete 1 of: BIOL360 - Cell Biology (1.5) BIOL365 - Animal Physiology (1.5) BIOC299 - Biochemistry for Non-Majors (1.5) BIOC300A - General Biochemistry I (1.5) BIOC300B - General Biochemistry II (1.5),,,
Hy2L0v674,BIOL439,BIOL,Molecular Epidemiology,"Basic principles and applications of molecular epidemiology in epidemiological research on infectious and chronic diseases as well as risk factors in human populations. An overview of terminology and definitions, the use of statistics, and ethical consideration.",1.5,Complete all of the following Complete all of: BIOL225 - Principles of Cell Biology (1.5) BIOL230 - Principles of Genetics (1.5) Complete 1 of: STAT255 - Statistics for Life Sciences I (1.5) STAT260 - Introduction to Probability and Statistics I (1.5),,,
HkALCwam4,BIOL446,BIOL,Advanced Aquatic Ecology,"Introduction to fundamental concepts, theories and models in aquatic ecology and their application to sustainable protection and management of aquatic (freshwater and marine) ecosystems and resources. Emphasis on integrated approaches to water quality, nutrient-food web dynamics, aquatic biodiversity, fisheries productivity, and contaminant transport. Critical review of recent journal articles. Written and oral presentations required.",1.5,Complete all of the following Complete 1 of: BIOL215 - Principles of Ecology (1.5) BIOL311 - Biological Oceanography (1.5) BIOL311B - Chemical and Biological Oceanography (1.5) BIOL330 - Study Design and Data Analysis (1.5) EOS311 - Biological Oceanography (1.5) ES310 - Ecological Methods (1.5) ES344 - Design and Analysis for Environmental Science (1.5) GEOG371 - Water Resources Management (1.5) minimum fourth-year standing.,,,
H11D0wp7V,BIOL447,BIOL,Ion Channels and Disease,"Structure and function of major voltage- and ligand-gated ion channels in neurons. Channel-related diseases and how alterations in ion channel function can contribute to nervous system disorders such as nicotine addiction and epilepsy. Mechanisms of ligand binding, gating and ion selectivity. Bioinformatic tools to analyze ion channel sequence, functional domains and structure, and electrophysiological, fluorescence and crystallography techniques to study channel structure and function. Critical discussions of the primary literature is emphasized.",1.5,Complete 1 of: BIOL365 - Animal Physiology (1.5) BIOL367 - Neurobiology: Molecules to Behaviour (1.5),,,
r19IAP67N,BIOL435,BIOL,Molecular Evolution,"Using population genetic and evolutionary principles to understand how and why genes and genomes change, and to reconstruct the evolutionary history of genes, genomes, and organisms.",1.5,Complete all of: BIOL230 - Principles of Genetics (1.5),,,
rkJPAP6mE,BIOL448,BIOL,Neuroethology,Examination of the neural basis of behaviour. Insights into the neuronal organization of behaviour through examination of neural solutions that have evolved in animals to solve problems encountered in their particular environments. Examples in individual species are used to illustrate how neuronal systems integrate information to shape behaviour in a real-world context. Research papers and seminar presentations based on the primary literature are emphasized.,1.5,Complete 1 of: BIOL345 - Animal Behaviour (1.5) BIOL365 - Animal Physiology (1.5) BIOL305A - Animal Physiology (1.5) BIOL305B - Animal Physiology (1.5),,,
HJ1w0v67V,BIOL449,BIOL,Flowering Plant Diversity,"A regional and worldwide survey of flowering plants, including morphological diversity and adaptations; plant evolution and phylogeny; species concepts; modern classification and nomenclature; and experimental approaches to the study of plant diversity. Labs emphasize identification and use of keys. Lab projects include the option of a pressed plant collection. Contact instructor for details and collecting equipment.",1.5,Complete all of the following Complete 1 of: BIOL184 - Evolution and Biodiversity (1.5) BIOL190B - General Biology II (1.5) Complete 1 of: BIOL186 - Physiology and Cell Biology (1.5) BIOL190A - General Biology I (1.5) minimum third-year standing.,,BIOL 324 recommended prior to BIOL 449.,"Credit will be granted for only one of BIOL 449, BIOL 318, ES 425."
HkSP0Pp7E,BIOL459,BIOL,Human Microbial Diseases,"An introduction to human infectious diseases and the biology and ecology of pathogenic bacteria and viruses. Basic principles of epidemiology of infectious diseases. Methods of control: antibiotics, antivirals and vaccines. Classification, pathogenicity, molecular diagnostic, epidemiology of various types of human infectious diseases (respiratory, digestive, etc.).",1.5,Complete 2 of: BIOL215 - Principles of Ecology (1.5) BIOL225 - Principles of Cell Biology (1.5) BIOL230 - Principles of Genetics (1.5),,,
HyDv0vaQ4,BIOL461,BIOL,Fisheries Ecology and Management,"An examination of the basic principles of fisheries ecology and population dynamics and how these are used as the basis for stock assessment and fisheries management. Topics include: current issues in BC, Canadian and global fisheries; growth, mortality, reproduction and recruitment; stock-recruitment and age-structured fisheries models; fisheries management tactics and strategies.",1.5,,,BIOL 335 recommended prior to BIOL 461.,
SJwvCPaQE,BIOL462,BIOL,Community and Ecosystem,"An examination of the development of, and approaches to, ecological research, including theoretical and empirical advances. Topics include scale, biodiversity ecosystem function, diversity stability, trophic interactions, food webs, ecological networks, macroecology, and resilience, as well as an introduction to programming and ecological modeling in R.",1.5,Complete all of: BIOL215 - Principles of Ecology (1.5),,,
BklDDCPamE,BIOL465,BIOL,The Molecular Basis of Cancer,"Clinical terminology, concepts of cancer epidemiology, DNA mutation and repair, molecular basis of cell cycle regulation, cell proliferation and apoptosis. Special emphasis on chemotherapy, gene therapy, diet and cancer, and the immunology of cancer.",1.5,Complete all of the following Complete all of: BIOL225 - Principles of Cell Biology (1.5) BIOL230 - Principles of Genetics (1.5) Complete 1 of: BIOL360 - Cell Biology (1.5) BIOC300A - General Biochemistry I (1.5) BIOC300B - General Biochemistry II (1.5),,,
SyOP0Dp7V,BIOL467,BIOL,Neural Development,"Neural induction, patterning, cell fate determination, axon guidance, synaptic development, circuit formation, neural stem cells, adult neurogenesis. Emphasis on molecular mechanisms, analysis of primary literature.",1.5,Complete 1 of: BIOL309 - Developmental Biology (1.5) BIOL360 - Cell Biology (1.5) BIOL367 - Neurobiology: Molecules to Behaviour (1.5),,,
BJlVw0vTQN,BIOL458,BIOL,Plant Biochemistry and Biochemical Ecology,"An introduction to plant biochemistry, plant metabolism, and the biochemical basis of plant adaptation, with emphasis on plant-specific biochemical pathways and processes, and their regulation and molecular biology. Storage carbohydrates, cell wall biosynthesis, lipid metabolism, nitrogen fixation and assimilation, and photosynthesis; biochemical ecology of secondary plant metabolites including isoprenoids, phenolics and alkaloids.",1.5,Complete 1 of: BIOC299 - Biochemistry for Non-Majors (1.5) BIOC300A - General Biochemistry I (1.5) BIOC300B - General Biochemistry II (1.5),,BIOC 300A or BIOC 300B recommended prior to BIOL 458.,Not open to students with credit in BIOL 490A in this topic.
BkUv0PpXE,BIOL460,BIOL,Honours Seminar,Participation in seminars as arranged by the department and the Honours Coordinator. Required of all Honours students in their fourth-year of studies.,0,,,,
ByNDCDaX4,BIOL457,BIOL,Paleoecology and Environmental Change,"Fundamental principles of paleoecology with emphasis on species, community and ecosystem responses to environmental change over the past 2 million years. Topics include: using fossil remains to infer ecological dynamics and climate change since the last glaciation; ice age megafaunal extinctions; role of paleoecology in conservation.",1.5,Complete all of the following Complete 1 of: BIOL215 - Principles of Ecology (1.5) EOS330 - Paleobiology (1.5) minimum third-year standing or permission of the department.,,BIOL 324 recommended prior to BIOL 457.,"Credit will be granted for only one of BIOL 457, BIOL 557."
BkOPRP6XN,BIOL466,BIOL,Frontiers in Marine Biology,"Explores new advances in topics related to ocean biology, focussing on ocean change and responses in biological systems. Topics range from novel approaches to ocean discovery both in theory and in the field, to the role of humans in ocean change and mitigation. Content is based in ocean processes and ecological interactions ranging from microbes to ecosystem and from coasts to the deep sea.",1.5,Complete 1 of: BIOL311 - Biological Oceanography (1.5) BIOL319 - Marine Ecology (1.5) EOS311 - Biological Oceanography (1.5),,,
H1ldvCDpXV,BIOL468,BIOL,Food Web Ecology,"Characterizing food web interactions is fundamental to ecology. Provides a comprehensive introduction to the most important methods used to characterize food web interactions in terrestrial and aquatic ecosystems. Topics include: isotopic ecology, ecological stoichiometry, nutritional geometry, lipid tracers and molecular tracers.",1.5,Complete all of the following Complete all of: BIOL215 - Principles of Ecology (1.5) minimum third-year standing.,,,"Credit will be granted for only one of BIOL 468, BIOL 470 (if taken in the same topic)."
SkldwRvTXN,BIOL470,BIOL,Advanced Topics in Biology,Examination of a specific topic in biology. * Lab or tutorial hours may vary depending on the topic.,"{'min': '1.5', 'max': '3'}",Set by department depending upon topic.,,,
r1cw0vTQE,BIOL490A,BIOL,Directed Studies and Research in Botany,"Departmental permission may be given for supervised research projects, individual study, or directed readings.",1.5,Complete all of the following Minimum third-year standing minimum cumulative GPA of 5.0 in the last 15 units of coursework.,,,"A student may take up to a maximum of 3 units from BIOL 490A, BIOL 490B, BIOL 490D, BIOL 490E, BIOL 490F, BIOL 490G, BIOL 490H, BIOL 490J, BIOL 490K, MRNE 400."
rJqw0wa7V,BIOL490B,BIOL,Directed Studies and Research in Ecology,"Departmental permission may be given for supervised research projects, individual study, or directed readings.",1.5,Complete all of the following Minimum third-year standing minimum cumulative GPA of 5.0 in the last 15 units of coursework.,,,"A student may take up to a maximum of 3 units from BIOL 490B, BIOL 490A, BIOL 490D, BIOL 490E, BIOL 490F, BIOL 490G, BIOL 490H, BIOL 490J, BIOL 490K MRNE 400."
SJoDCP6XE,BIOL490D,BIOL,Directed Studies and Research in Marine Biology,"Departmental permission may be given for supervised research projects, individual study, or directed readings.",1.5,Complete all of the following Minimum third-year standing minimum cumulative GPA of 5.0 in the last 15 units of coursework.,,,"A student may take up to a maximum of 3 units from BIOL 490D, BIOL 490A, BIOL 490B, BIOL 490E, BIOL 490F, BIOL 490G, BIOL 490H, BIOL 490J, BIOL 490K, MRNE 400."
Hk2PCPaQE,BIOL490E,BIOL,Directed Studies and Research in Zoology,"Departmental permission may be given for supervised research projects, individual study, or directed readings.",1.5,Complete all of the following Minimum third-year standing minimum cumulative GPA of 5.0 in the last 15 units of coursework.,,,"A student may take up to a maximum of 3 units from BIOL 490E, BIOL 490A, BIOL 490B, BIOL 490D, BIOL 490F, BIOL 490G, BIOL 490H, BIOL 490J, BIOL 490K, MRNE 400."
Sy3zYB5sF,BIOL490K,BIOL,Directed Studies in Communication in the Biological Sciences,Departmental permission may be given for individual study and directed readings of scientific literature on a biological topic and pedagogical literature dealing with effective communication of scientific information. The course will culminate in an oral presentation by the student.,1.5,Complete all of the following Minimum third-year standing minimum cumulative GPA of 5.0 in the last 15 units of coursework.,,,"A student may take up to a maximum of 3 units from BIOL 490K, BIOL 490A, BIOL 490B, BIOL 490D, BIOL 490E, BIOL 490F, BIOL 490G, BIOL 490H, BIOL 490J, MRNE 400."
SJZuRvamN,BIOL499A,BIOL,Honours Thesis I,The first stage of a research project conducted under the direction of a faculty member.,1.5,Permission of the department.,,,"Credit will be granted for only one of BIOL 499A, BIOL 499. Open to Honours students only. BIOL 499A and BIOL 499B are ""tied"" courses and must be taken in consecutive terms except with permission of the department. Credit and final grade for BIOL 499A will be assigned only upon successful completion of BIOL 499B; if BIOL 499B is not completed, a grade equivalent to N will be assigned to BIOL 499A."
S1G_0DamE,BIOL499B,BIOL,Honours Thesis II,Continuation of a research project conducted under the direction of a faculty member.,1.5,Complete all of: BIOL499A - Honours Thesis I (1.5),,,"Credit will be granted for only one of BIOL 499B, BIOL 499. Open to Honours students only. BIOL 499A and BIOL 499B are ""tied"" courses and must be taken in consecutive terms except with permission of the department. Credit for BIOL 499A will be assigned only upon successful completion of both courses."
H1nP0PaQV,BIOL490F,BIOL,Directed Studies and Research in Cell and Molecular Biology,"Departmental permission may be given for supervised research projects, individual study, or directed readings.",1.5,Complete all of the following Minimum third-year standing minimum cumulative GPA of 5.0 in the last 15 units of coursework.,,,"A student may take up to a maximum of 3 units from BIOL 490F, BIOL 490A, BIOL 490B, BIOL 490D, BIOL 490E, BIOL 490G, BIOL 490H, BIOL 490J, BIOL 490K, MRNE 400."
S12vRva7N,BIOL490G,BIOL,Directed Studies and Research in Evolution,"Departmental permission may be given for supervised research projects, individual study, or directed readings.",1.5,Complete all of the following Minimum third-year standing minimum cumulative GPA of 5.0 in the last 15 units of coursework.,,,"A student may take up to a maximum of 3 units from BIOL 490G, BIOL 490A, BIOL 490B, BIOL 490D, BIOL 490E, BIOL 490F, BIOL 490H, BIOL 490J, BIOL 490K, MRNE 400."
BJk9CD6m4,BME201,BME,Quantitative Human Physiology,"Introduction to human physiology at the level necessary for advanced work in biomedical engineering, including properties of organ systems such as the nervous, endocrine, muscular, cardiovascular and respiratory systems.",1.5,Complete all of the following Complete 1 of: CHEM101 - Fundamentals of Chemistry from Atoms to Materials (1.5) CHEM150 - Engineering Chemistry (1.5) Complete 1 of: PHYS111 - Introductory Physics II (1.5) PHYS112 - Basic Physics (3.0) PHYS125 - Fundamentals of Physics (1.5) PHYS130 - Physics II (1.5),,,
rk6PRD6mN,BIOL490H,BIOL,Directed Studies and Research in Neurobiology,"Departmental permission may be given for supervised research projects, individual study, or directed readings.",1.5,Complete all of the following Minimum third-year standing minimum cumulative GPA of 5.0 in the last 15 units of coursework.,,,"A student may take up to a maximum of 3 units from BIOL 490H, BIOL 490A, BIOL 490B, BIOL 490D, BIOL 490E, BIOL 490F, BIOL 490G, BIOL 490J, BIOL 490K, MRNE 400."
HyCt0wpmE,BME200,BME,Molecular and Cellular Physiology for Engineers,"Examines the basic structures and processes that make up cells and tissues, including protein synthesis, cellular tissues, and control of cellular processes, using principles from engineering kinetics and transport processes. Includes wet lab exercises.",1.5,Complete all of the following Complete 1 of: CHEM101 - Fundamentals of Chemistry from Atoms to Materials (1.5) CHEM150 - Engineering Chemistry (1.5) Complete 1 of: PHYS111 - Introductory Physics II (1.5) PHYS112 - Basic Physics (3.0) PHYS125 - Fundamentals of Physics (1.5) PHYS130 - Physics II (1.5),,,
Bypv0w6XE,BIOL490J,BIOL,Directed Studies and Research in Forest Biology,"Departmental permission may be given for supervised research projects, individual study, or directed readings.",1.5,Complete all of the following Minimum third-year standing minimum cumulative GPA of 5.0 in the last 15 units of coursework.,,,"A student may take up to a maximum of 3 units from BIOL 490J, BIOL 490A, BIOL 490B, BIOL 490D, BIOL 490E, BIOL 490F, BIOL 490G, BIOL 490H, BIOL 490K, MRNE 400."
HJy9CvaXE,BME320,BME,Engineering Materials with BME applications,"Materials for engineering; atomic structure, arrangement and movement; crystalline structures; polymer structures and polymer development and formulation; ceramics and ceramic development; properties of ferrous and nonferrous metals; properties of semiconductors, insulators and magnetic materials; electronic conduction in solids and simple devices. Materials in biomedical engineering design and biological effects.",1.5,Complete all of the following Complete 1 of: CHEM101 - Fundamentals of Chemistry from Atoms to Materials (1.5) CHEM150 - Engineering Chemistry (1.5) Complete all of: PHYS111 - Introductory Physics II (1.5),,,"Not open for credit to students registered in or with credit in any of ECE 220, ELEC 220, MECH 285."
BJkcADaXN,BME335,BME,Biosensors and Instrumentation,"Principles of biomedical devices and instrumentation. Topics include: sensors and transducers (such as voltage sensors, optical sensors, displacement/pressure sensors and accelerometers, and acoustic sensors); signal filtering and amplification (Bode plots, passive and active filters, noise in electrical circuits); data acquisition and signal processing (sampling theory and signal aliasing, analogue-to-digital conversion); ECG; EEG; hearing aids; wearable and implanted devices; instrument/device safety.",1.5,Complete 1 of: ECE216 - Electricity and Magnetism (1.5) ELEC216 - Electricity and Magnetism (1.5) PHYS216 - Introductory Electricity and Magnetism (1.5),,,"Credit will be granted for only one of BME 335, ECE 335, ELEC 335."
SJg9Av6m4,BME350,BME,Biomedical Engineering Design,"Design methodology; recognizing and defining open-ended biomedical engineering problems, problem definition, concept generation, project planning, modelling, analysis, decision making, design synthesis, prototyping and testing. Students complete a series of design projects in small teams to develop teamwork. Introduction to engineering graphics; perspective and orthographic projects; 3D models, dimensioning and tolerancing; generation of engineering drawings with CAD systems.",2.0,Complete all of: BME201 - Quantitative Human Physiology (1.5) MECH220 - Mechanics of Solids I (1.5),,,"Credit will be granted for only one of BME 350, MECH 350."
ryelcCDaX4,BME401A,BME,Special Topics in Biomedical Engineering,Presents material in an emerging field or one not covered in regular offerings that includes an engineering design component. Entrance is restricted to third- and fourth-year students who meet the prerequisite specified for the offered topic. *Lab hours may vary depending on the topic.,1.5,,,,"Credit will be granted for only one of BME 401A, BME 401B (if taken in the same topic), BME 401C (if taken in the same topic), BME 401D (if taken in the same topic), BME 580 (if taken in the same topic), ECE 496A (if taken in the same topic), ECE 496B (If taken in the same topic), ECE 496C (if taken in the same topic), ECE 496D (if taken in the same topic), MECH 450A (if taken in the same topic), MECH 450B (if taken in the same topic), MECH 450C (if taken in the same topic), MECH 450D (if taken in the same topic), MECH 450E (if taken in the same topic), and MECH 450F (if taken in the same topic). May be offered as a joint undergraduate and graduate class."
B1f9CPTX4,BME403,BME,Medical Image Processing,"Image processing and understanding techniques applied in medical imaging technologies such as CT, MRI, ultrasound, X-ray. Design of computer aided diagnosis systems. Topics include algorithms for filtering, edge detection, segmentation, registration and 3D visualization of medical data.",1.5,Complete 1 of: ECE310 - Digital Signal Processing I (1.5) ELEC310 - Digital Signal Processing I (1.5),,,"Credit will be granted for only one of BME 403, ECE 435, ELEC 435."
