UVIC Course Description,Subject,Course Number,Course Name
CSC429 - Cryptography,CSC,429,Cryptography
CSC431 - Machine Learning Theory,CSC,431,Machine Learning Theory
CSC435 - Compiler Construction,CSC,435,Compiler Construction
CSC445 - Operations Research: Linear Programming,CSC,445,Operations Research: Linear Programming
CSC446 - Simulations in Operations Research,CSC,446,Simulations in Operations Research
CSC449 - Numerical Linear Algebra,CSC,449,Numerical Linear Algebra
CSC460 - Design and Analysis of Real-time Systems,CSC,460,Design and Analysis of Real-time Systems
CSC461 - Multimedia Systems,CSC,461,Multimedia Systems
CSC462 - Distributed Computing,CSC,462,Distributed Computing
CSC463 - Wireless and Mobile Networks,CSC,463,Wireless and Mobile Networks
CSC464 - Concurrency,CSC,464,Concurrency
CSC466 - Overlay and Peer-to-Peer Networking,CSC,466,Overlay and Peer-to-Peer Networking
"CSC467 - Switching, Network Traffic and Quality of Service",CSC,467,"Switching, Network Traffic and Quality of Service"
CSC471 - Fundamentals of Computer Rendering,CSC,471,Fundamentals of Computer Rendering
CSC472 - Fundamentals of Computer Modeling,CSC,472,Fundamentals of Computer Modeling
CSC473 - Fundamentals of Computer Animation,CSC,473,Fundamentals of Computer Animation
CSC475 - Music Retrieval Techniques,CSC,475,Music Retrieval Techniques
CSC482A - Topics in Algorithms,CSC,482A,Topics in Algorithms
CSC482B - Topics in Algorithms,CSC,482B,Topics in Algorithms
CSC482C - Topics in Algorithms,CSC,482C,Topics in Algorithms
CSC482D - Topics in Algorithms,CSC,482D,Topics in Algorithms
CSC483A - Topics in Programming Methodology,CSC,483A,Topics in Programming Methodology
CSC483B - Topics in Programming Methodology,CSC,483B,Topics in Programming Methodology
CSC483C - Topics in Programming Methodology,CSC,483C,Topics in Programming Methodology
CSC483D - Topics in Programming Methodology,CSC,483D,Topics in Programming Methodology
CSC484A - Topics in Scientific Computing,CSC,484A,Topics in Scientific Computing
CSC484B - Topics in Scientific Computing,CSC,484B,Topics in Scientific Computing
CSC484C - Topics in Scientific Computing,CSC,484C,Topics in Scientific Computing
CSC484D - Topics in Scientific Computing,CSC,484D,Topics in Scientific Computing
CSC485A - Topics in Systems,CSC,485A,Topics in Systems
CSC485B - Topics in Systems,CSC,485B,Topics in Systems
CSC485C - Topics in Systems,CSC,485C,Topics in Systems
CSC485D - Topics in Systems,CSC,485D,Topics in Systems
CSC485E - Topics in Systems,CSC,485E,Topics in Systems
CSC485F - Topics in Systems,CSC,485F,Topics in Systems
CSC485G - Topics in Systems,CSC,485G,Topics in Systems
CSC485H - Topics in Systems,CSC,485H,Topics in Systems
CSC486A - Topics in Graphics,CSC,486A,Topics in Graphics
CSC486B - Topics in Graphics,CSC,486B,Topics in Graphics
CSC486C - Topics in Graphics,CSC,486C,Topics in Graphics
CSC486D - Topics in Graphics,CSC,486D,Topics in Graphics
CSC490 - Directed Studies,CSC,490,Directed Studies
CSC497 - Interdisciplinary Project,CSC,497,Interdisciplinary Project
CSC499 - Honours Seminar and Project,CSC,499,Honours Seminar and Project
CW101E - Introduction to Creative Writing I,CW,101E,Introduction to Creative Writing I
CW102E - Introduction to Creative Writing II,CW,102E,Introduction to Creative Writing II
CW150E - Writing for Children from a First Nations' Perspective,CW,150E,Writing for Children from a First Nations' Perspective
CW155E - Critical Process and World View,CW,155E,Critical Process and World View
"CW156E - Critical Process, Symbolism and Oral Tradition",CW,156E,"Critical Process, Symbolism and Oral Tradition"
CW160E - First Nations' Nonfiction,CW,160E,First Nations' Nonfiction
CW212E - Structure in Cinema and Television Drama,CW,212E,Structure in Cinema and Television Drama
ED-P251 - Three-Week Practicum (Elementary Education),ED-P,251,251 - Three-Week Practicum (Elementary Education)
ED-P301 - Internship/Community Experience,ED-P,301,301 - Internship/Community Experience
ED-P351 - Six-Week Practicum (Elementary Education),ED-P,351,351 - Six-Week Practicum (Elementary Education)
ED-P361 - Six-Week Practicum (Elementary or Middle Years Post Degree),ED-P,361,361 - Six-Week Practicum (Elementary or Middle Years Post Degree)
ED-P451 - Final Practicum (Elementary Education),ED-P,451,451 - Final Practicum (Elementary Education)
ED-P461 - Final Practicum (Elementary Post-Degree),ED-P,461,461 - Final Practicum (Elementary Post-Degree)
ED-P496 - Mentoring in Teaching,ED-P,496,496 - Mentoring in Teaching
ED-P497 - Professional Seminar or Practicum,ED-P,497,497 - Professional Seminar or Practicum
ED-P498 - Seminar and Two-Week Practicum for BEd (Secondary Curriculum),ED-P,498,498 - Seminar and Two-Week Practicum for BEd (Secondary Curriculum)
ED-P499 - Professional Development Professional Studies,ED-P,499,499 - Professional Development Professional Studies
ED-P781 - Six-Week Practicum (Secondary Post-Degree),ED-P,781,781 - Six-Week Practicum (Secondary Post-Degree)
ED-P782 - Final Practicum (Secondary Post-Degree),ED-P,782,782 - Final Practicum (Secondary Post-Degree)
ED-P798 - Final Sixteen-Week Practicum (Secondary),ED-P,798,798 - Final Sixteen-Week Practicum (Secondary)
EDCI136 - Learning in an Open and Connected World,EDCI,136,Learning in an Open and Connected World
EDCI208 - Studio Piano Class I,EDCI,208,Studio Piano Class I
EDCI250 - Elementary Field Experience Seminar I,EDCI,250,Elementary Field Experience Seminar I
EDCI300 - Mathematical Processes A,EDCI,300,Mathematical Processes A
EDCI301 - Language and Literacies Pedagogy,EDCI,301,Language and Literacies Pedagogy
EDCI302 - Literacy and Language in Elementary or Middle School,EDCI,302,Literacy and Language in Elementary or Middle School
EDCI303 - Historical and Philosophical Foundations of Canadian Education,EDCI,303,Historical and Philosophical Foundations of Canadian Education
EDCI305A - Drama Education as a Medium for Learning I,EDCI,305A,Drama Education as a Medium for Learning I
EDCI305B - Drama Education as a Medium for Learning II,EDCI,305B,Drama Education as a Medium for Learning II
EDCI306A - Music in the Elementary Classroom I,EDCI,306A,Music in the Elementary Classroom I
EDCI306B - Music in the Elementary Classroom II,EDCI,306B,Music in the Elementary Classroom II
EDCI307A - Art in the Elementary or Middle Classroom I,EDCI,307A,Art in the Elementary or Middle Classroom I
EDCI307B - Art in the Elementary Classroom II,EDCI,307B,Art in the Elementary Classroom II
EDCI308 - Studio Piano Class II,EDCI,308,Studio Piano Class II
EDCI310 - Learning to Listen to Music,EDCI,310,Learning to Listen to Music
EDCI311 - Studio Guitar Class: I,EDCI,311,Studio Guitar Class: I
EDCI312 - Studio Guitar Class: II,EDCI,312,Studio Guitar Class: II
EDCI313 - Pedagogy for Drama Education,EDCI,313,Pedagogy for Drama Education
EDCI315 - Art Pedagogy for the Elementary or Middle Classroom I,EDCI,315,Art Pedagogy for the Elementary or Middle Classroom I
EDCI316 - Pedagogy for Music Education I,EDCI,316,Pedagogy for Music Education I
EDCI330 - Elementary Field Experience Seminar II,EDCI,330,Elementary Field Experience Seminar II
EDCI335 - Learning Design for Technology-Mediated Environments,EDCI,335,Learning Design for Technology-Mediated Environments
EDCI336 - Technology and Innovation in Education,EDCI,336,Technology and Innovation in Education
EDCI337 - Interactive and Multimedia Learning,EDCI,337,Interactive and Multimedia Learning
EDCI338 - Social Media and Personalized Learning,EDCI,338,Social Media and Personalized Learning
EDCI339 - Distributed and Open Learning,EDCI,339,Distributed and Open Learning
"EDCI340 - Media Activism, Social Justice, and Educational Change",EDCI,340,"Media Activism, Social Justice, and Educational Change"
EDCI347 - Children's and Young Adult Literature,EDCI,347,Children's and Young Adult Literature
EDCI352 - Multiliteracies Curriculum,EDCI,352,Multiliteracies Curriculum
EDCI355 - Literature for Young Adults,EDCI,355,Literature for Young Adults
EDCI356 - Expanding Notions of Text,EDCI,356,Expanding Notions of Text
EDCI360 - Field Experience Seminar (Elementary or Middle Years Post Degree),EDCI,360,Field Experience Seminar (Elementary or Middle Years Post Degree)
EDCI402 - Reading Instructional Principles and Strategies,EDCI,402,Reading Instructional Principles and Strategies
EDCI403 - Curriculum and Instruction in Elementary or Middle School Science,EDCI,403,Curriculum and Instruction in Elementary or Middle School Science
EDCI404 - Curriculum and Instruction in Elementary School Social Studies,EDCI,404,Curriculum and Instruction in Elementary School Social Studies
EDCI405 - Mathematical Processes B,EDCI,405,Mathematical Processes B
EDCI410 - Literacy in the Digital Age,EDCI,410,Literacy in the Digital Age
EDCI412 - Language and Literacies Pedagogy Reading Diverse Texts,EDCI,412,Language and Literacies Pedagogy Reading Diverse Texts
EDCI413 - Pedagogy for Science Education,EDCI,413,Pedagogy for Science Education
EDCI414 - Pedagogy for Social Studies Education,EDCI,414,Pedagogy for Social Studies Education
EDCI415 - Pedagogy for Mathematics Education,EDCI,415,Pedagogy for Mathematics Education
EDCI422 - Curriculum and Program Design in Early Childhood Education,EDCI,422,Curriculum and Program Design in Early Childhood Education
EDCI428 - Adapting Mathematics Curriculum and Instruction,EDCI,428,Adapting Mathematics Curriculum and Instruction
EDCI431 - Philosophical Foundations of Education,EDCI,431,Philosophical Foundations of Education
EDCI432 - Historical Foundations of Education,EDCI,432,Historical Foundations of Education
EDCI433 - Anthropology and Education,EDCI,433,Anthropology and Education
EDCI434 - Sociological Foundations of Education,EDCI,434,Sociological Foundations of Education
EDCI441 - Supporting Learners Experiencing Difficulties with Literacy I,EDCI,441,Supporting Learners Experiencing Difficulties with Literacy I
EDCI443 - Personalizing and Differentiating Instruction in Literacy,EDCI,443,Personalizing and Differentiating Instruction in Literacy
EDCI447 - Principles of Teaching English Language Learning,EDCI,447,Principles of Teaching English Language Learning
EDCI448 - Organization and Procedures for Instruction of English to Second Language Learners,EDCI,448,Organization and Procedures for Instruction of English to Second Language Learners
EDCI451 - Community and Culture,EDCI,451,Community and Culture
EDCI452 - Cultural Studies in Education,EDCI,452,Cultural Studies in Education
EDCI454 - Environmental Education,EDCI,454,Environmental Education
"EDCI455 - The Evolution of Educational Ideas: Philosophy, History and the Classroom",EDCI,455,"The Evolution of Educational Ideas: Philosophy, History and the Classroom"
EDCI456 - Community Development Project,EDCI,456,Community Development Project
EDCI463 - Visual Thinking,EDCI,463,Visual Thinking
EDCI469 - Teaching Oral French,EDCI,469,Teaching Oral French
EDCI474 - Rural Education,EDCI,474,Rural Education
EDCI475 - Principles in Teaching French Immersion,EDCI,475,Principles in Teaching French Immersion
EDCI476 - Organization and Instruction in French Immersion,EDCI,476,Organization and Instruction in French Immersion
EDCI477 - Designs for Learning in French Immersion,EDCI,477,Designs for Learning in French Immersion
EDCI487 - Special Topics in Education,EDCI,487,Special Topics in Education
EDCI488 - Special Topics in Education,EDCI,488,Special Topics in Education
EDCI490 - Transformative Inquiry,EDCI,490,Transformative Inquiry
EDCI494 - Directed Studies,EDCI,494,Directed Studies
EDCI495 - Directed Studies,EDCI,495,Directed Studies
EDCI496 - Professional Communication for Personal Success,EDCI,496,Professional Communication for Personal Success
EDCI499 - Professional Development - Curriculum and Instruction,EDCI,499,Professional Development - Curriculum and Instruction
EDCI706 - Curriculum and Instruction in Secondary School Art,EDCI,706,Curriculum and Instruction in Secondary School Art
EDCI716 - Curriculum and Instruction in Secondary School Theatre,EDCI,716,Curriculum and Instruction in Secondary School Theatre
EDCI746 - Curriculum and Instruction in Secondary School French,EDCI,746,Curriculum and Instruction in Secondary School French
EDCI747 - Curriculum and Instruction in Secondary School English,EDCI,747,Curriculum and Instruction in Secondary School English
EDCI749 - General Methods of Second Language Teaching,EDCI,749,General Methods of Second Language Teaching
EDCI757 - Curriculum and Instruction in Secondary School Mathematics,EDCI,757,Curriculum and Instruction in Secondary School Mathematics
EDCI761 - Curriculum and Instruction in Secondary School Music,EDCI,761,Curriculum and Instruction in Secondary School Music
EDCI767 - Curriculum and Instruction in Secondary School Science,EDCI,767,Curriculum and Instruction in Secondary School Science
EDCI773 - Curriculum and Instruction in Secondary School Social Sciences,EDCI,773,Curriculum and Instruction in Secondary School Social Sciences
EDCI780 - Secondary Field Experience Seminar,EDCI,780,Secondary Field Experience Seminar
EDCI787 - Cross-curricular Inquiry Strategies,EDCI,787,Cross-curricular Inquiry Strategies
"DHUM150 - Tools, Techniques, and Culture of the Digital Humanities",DHUM,150,"Tools, Techniques, and Culture of the Digital Humanities"
DHUM491 - Directed Studies in Digital Humanities,DHUM,491,Directed Studies in Digital Humanities
DSST440 - Introduction to Disability Studies,DSST,440,Introduction to Disability Studies
EOS110 - Oceans and Atmosphere,EOS,110,Oceans and Atmosphere
EOS120 - The Dynamic Earth,EOS,120,The Dynamic Earth
EOS130 - Climate Change,EOS,130,Climate Change
EOS170 - Natural Hazards,EOS,170,Natural Hazards
EOS201 - Sedimentary Geology,EOS,201,Sedimentary Geology
EOS202 - Structural Geology,EOS,202,Structural Geology
EOS205 - Mineralogy,EOS,205,Mineralogy
EOS210 - Introductory Geophysics,EOS,210,Introductory Geophysics
EOS220 - Weather and Climate,EOS,220,Weather and Climate
EOS230 - Introduction to Environmental Data Analysis,EOS,230,Introduction to Environmental Data Analysis
EOS240 - Geochemistry,EOS,240,Geochemistry
EOS261 - The Climate System,EOS,261,The Climate System
EOS300 - Earth Science Field School,EOS,300,Earth Science Field School
EOS311 - Biological Oceanography,EOS,311,Biological Oceanography
EOS312 - Introductory Chemical Oceanography,EOS,312,Introductory Chemical Oceanography
EOS313 - Introductory Geological Oceanography,EOS,313,Introductory Geological Oceanography
EOS314 - Descriptive Physical Oceanography,EOS,314,Descriptive Physical Oceanography
EOS316 - Igneous and Metamorphic Geology,EOS,316,Igneous and Metamorphic Geology
EOS321 - Earth History,EOS,321,Earth History
EOS325 - Earth System Modelling,EOS,325,Earth System Modelling
EOS330 - Paleobiology,EOS,330,Paleobiology
EOS335 - Isotopes in Natural Sciences,EOS,335,Isotopes in Natural Sciences
EOS340 - Atmospheric Physics,EOS,340,Atmospheric Physics
EOS350 - Understanding the Oceans,EOS,350,Understanding the Oceans
EOS365 - Climate and Society,EOS,365,Climate and Society
EOS400 - Advanced Field Geology,EOS,400,Advanced Field Geology
EOS401 - Oceanographic Field School,EOS,401,Oceanographic Field School
EOS403 - Global Biogeochemical Cycles,EOS,403,Global Biogeochemical Cycles
EOS408 - Marine Geology,EOS,408,Marine Geology
EOS410 - Global Tectonics,EOS,410,Global Tectonics
EOS416 - High Temperature Petrology,EOS,416,High Temperature Petrology
EOS420 - Resource Geology,EOS,420,Resource Geology
EOS423 - Advanced Sedimentology and Stratigraphy,EOS,423,Advanced Sedimentology and Stratigraphy
EOS425 - Aqueous Chemistry in the Earth and Ocean,EOS,425,Aqueous Chemistry in the Earth and Ocean
EOS427 - Geophysics,EOS,427,Geophysics
EOS431 - Physical Oceanography,EOS,431,Physical Oceanography
EOS433 - The Physics of Climate,EOS,433,The Physics of Climate
EOS440 - Hydrogeology,EOS,440,Hydrogeology
EOS450 - Quaternary Geology,EOS,450,Quaternary Geology
EOS451 - Introductory Dynamic Meteorology,EOS,451,Introductory Dynamic Meteorology
EOS460 - Earth System Science,EOS,460,Earth System Science
EOS480 - Applied Geophysics,EOS,480,Applied Geophysics
EOS490 - Directed Studies in Earth and Ocean Sciences,EOS,490,Directed Studies in Earth and Ocean Sciences
EOS491 - Advanced Topics in Earth and Ocean Sciences,EOS,491,Advanced Topics in Earth and Ocean Sciences
EOS492 - Advanced Laboratory Topics in Earth and Ocean Sciences,EOS,492,Advanced Laboratory Topics in Earth and Ocean Sciences
EOS499A - Honours Thesis I,EOS,499A,Honours Thesis I
EOS499B - Honours Thesis II,EOS,499B,Honours Thesis II
ECON100 - The Canadian Economy - Problems and Policies,ECON,100,The Canadian Economy - Problems and Policies
ECON103 - Principles of Microeconomics,ECON,103,Principles of Microeconomics
ECON104 - Principles of Macroeconomics,ECON,104,Principles of Macroeconomics
"ECON112 - Strategy, Conflict and Co-operation",ECON,112,"Strategy, Conflict and Co-operation"
ECON180 - Introduction to Economics and Financial Project Evaluation,ECON,180,Introduction to Economics and Financial Project Evaluation
ECON185 - Introductory Topics in Economics,ECON,185,Introductory Topics in Economics
ECON203 - Intermediate Microeconomics I,ECON,203,Intermediate Microeconomics I
ECON204 - Intermediate Macroeconomics,ECON,204,Intermediate Macroeconomics
ECON205 - Managerial Economics,ECON,205,Managerial Economics
ECON225 - Writing for Economists,ECON,225,Writing for Economists
ECON245 - Descriptive Statistics and Probability,ECON,245,Descriptive Statistics and Probability
ECON246 - Statistical Inference,ECON,246,Statistical Inference
ECON305 - Money and Banking,ECON,305,Money and Banking
ECON306 - International Economics,ECON,306,International Economics
ECON308 - Economics and the Law,ECON,308,Economics and the Law
ECON309 - Competition Policy,ECON,309,Competition Policy
ECON312 - Urban Land Economics,ECON,312,Urban Land Economics
ECON313 - Intermediate Microeconomics II,ECON,313,Intermediate Microeconomics II
ECON316 - Principles and Applications of Cost Benefit Analysis,ECON,316,Principles and Applications of Cost Benefit Analysis
ECON317 - The Economics of Canadian Health Care,ECON,317,The Economics of Canadian Health Care
ECON318 - Health Economics,ECON,318,Health Economics
ECON320 - Economic Development,ECON,320,Economic Development
ECON321 - The Economic History of Canada,ECON,321,The Economic History of Canada
ECON325 - Public Economics,ECON,325,Public Economics
ECON327 - Economic History of North America,ECON,327,Economic History of North America
ECON329 - Development and Economics,ECON,329,Development and Economics
ECON333 - Introduction to Economic Growth,ECON,333,Introduction to Economic Growth
ECON337 - History of Economic Thought to 1870,ECON,337,History of Economic Thought to 1870
ECON338 - History of Economic Thought Since 1870,ECON,338,History of Economic Thought Since 1870
ECON339 - Economics of the Family,ECON,339,Economics of the Family
ECON345 - Applied Econometrics I,ECON,345,Applied Econometrics I
ECON346 - Applied Econometrics II,ECON,346,Applied Econometrics II
ECON350 - Mathematical Economics I: An Introduction to Static Methods,ECON,350,Mathematical Economics I: An Introduction to Static Methods
ECON351 - Mathematical Economics II: An Introduction to Dynamic Methods,ECON,351,Mathematical Economics II: An Introduction to Dynamic Methods
ECON358 - Intermediate Competition Economics,ECON,358,Intermediate Competition Economics
ECON365 - Econometrics: Part I,ECON,365,Econometrics: Part I
ECON366 - Econometrics: Part II,ECON,366,Econometrics: Part II
ECON370 - Labour Economics I,ECON,370,Labour Economics I
ECON381 - Environmental Economics I,ECON,381,Environmental Economics I
ECON382 - Natural Resource Economics I,ECON,382,Natural Resource Economics I
ECON383 - Climate Economics,ECON,383,Climate Economics
ECON400 - Advanced Topics in Microeconomic Theory,ECON,400,Advanced Topics in Microeconomic Theory
ECON401 - Advanced Topics in Macroeconomic Theory,ECON,401,Advanced Topics in Macroeconomic Theory
ECON403 - Agricultural Economics and Policy,ECON,403,Agricultural Economics and Policy
ECON405A - International Trade Theory,ECON,405A,International Trade Theory
ECON405B - International Monetary Theory and Policy,ECON,405B,International Monetary Theory and Policy
ECON406 - Monetary Economics,ECON,406,Monetary Economics
ECON410A - Problems of Canadian Microeconomic Policy,ECON,410A,Problems of Canadian Microeconomic Policy
ECON410B - Problems of Canadian Macroeconomic Policy,ECON,410B,Problems of Canadian Macroeconomic Policy
ECON413 - Economics of Firm Strategy,ECON,413,Economics of Firm Strategy
ECON419 - Economic Epidemiology,ECON,419,Economic Epidemiology
ECON420 - Theory of Economic Development,ECON,420,Theory of Economic Development
ECON422 - Issues in European Economic Integration,ECON,422,Issues in European Economic Integration
ECON423 - Economics and Indigenous Nations,ECON,423,Economics and Indigenous Nations
ECON435 - Financial Economics,ECON,435,Financial Economics
ECON437 - Philosophical Problems in Contemporary Economics,ECON,437,Philosophical Problems in Contemporary Economics
ECON450 - Game Theory in Economics,ECON,450,Game Theory in Economics
ECON452 - Information and Incentives,ECON,452,Information and Incentives
ECON453 - Economic Growth,ECON,453,Economic Growth
ECON454 - Theory of Corporate Finance,ECON,454,Theory of Corporate Finance
ECON457 - Computational Economics,ECON,457,Computational Economics
ECON458 - Advanced Competition Economics,ECON,458,Advanced Competition Economics
ECON465 - Advanced Applied Econometrics,ECON,465,Advanced Applied Econometrics
ECON468 - Financial Econometrics,ECON,468,Financial Econometrics
ECON471 - Labour Economics II,ECON,471,Labour Economics II
ECON481 - Environmental Economics II,ECON,481,Environmental Economics II
ECON482 - Natural Resource Economics II,ECON,482,Natural Resource Economics II
ECON485 - Topics in Economics,ECON,485,Topics in Economics
ECON486 - Topics in Econometrics,ECON,486,Topics in Econometrics
ECON495 - Directed Studies,ECON,495,Directed Studies
ECON496 - Directed Experiential Learning in Economics,ECON,496,Directed Experiential Learning in Economics
ECON499 - Fourth-Year Honours Thesis and Seminar,ECON,499,Fourth-Year Honours Thesis and Seminar
EDUC100 - Introduction to Education,EDUC,100,Introduction to Education
ED-D101 - Learning Strategies for University Success,ED-D,101,101 - Learning Strategies for University Success
ED-D116 - Communication for Personal and Professional Success,ED-D,116,116 - Communication for Personal and Professional Success
ED-D203 - Leadership Theory and Practice,ED-D,203,203 - Leadership Theory and Practice
ED-D204 - Developing as a Leader,ED-D,204,204 - Developing as a Leader
ED-D205 - Leadership in Social Media and Popular Culture,ED-D,205,205 - Leadership in Social Media and Popular Culture
ED-D219 - Introduction to Indigenous Approaches to Helping and Healing,ED-D,219,219 - Introduction to Indigenous Approaches to Helping and Healing
ED-D277 - Resilience and Coping to Overcome Adversity,ED-D,277,277 - Resilience and Coping to Overcome Adversity
ED-D287 - Special Topics in Educational Psychology and Leadership Studies,ED-D,287,287 - Special Topics in Educational Psychology and Leadership Studies
ED-D300 - Introduction to Applied Psychology,ED-D,300,300 - Introduction to Applied Psychology
ED-D301 - Learners and Learning Environments,ED-D,301,301 - Learners and Learning Environments
ED-D302 - Experiential Learning and Community Engagement,ED-D,302,302 - Experiential Learning and Community Engagement
ED-D307 - Anti-Oppressive Community Research Approaches,ED-D,307,307 - Anti-Oppressive Community Research Approaches
ED-D401 - Introduction to Psychology of Classroom Learning,ED-D,401,401 - Introduction to Psychology of Classroom Learning
ED-D402 - Assessment For Special Education,ED-D,402,402 - Assessment For Special Education
ED-D405 - Advanced Educational Exceptionality,ED-D,405,405 - Advanced Educational Exceptionality
ED-D406 - Psychology of Adolescence,ED-D,406,406 - Psychology of Adolescence
ED-D407 - Evaluating and Reporting Student Progress,ED-D,407,407 - Evaluating and Reporting Student Progress
ED-D408 - Promoting Prosocial Behaviour: Strategies and Management,ED-D,408,408 - Promoting Prosocial Behaviour: Strategies and Management
ED-D410 - Teacher as Leader: The Professional Role,ED-D,410,410 - Teacher as Leader: The Professional Role
ED-D411 - Teaching Students with Behavioural and Emotional Difficulties,ED-D,411,411 - Teaching Students with Behavioural and Emotional Difficulties
ED-D414 - Group Processes,ED-D,414,414 - Group Processes
ED-D415 - Level B Assessment and Instructional Programming,ED-D,415,415 - Level B Assessment and Instructional Programming
ED-D416 - Effective Interpersonal Communication Skills in Special Education,ED-D,416,416 - Effective Interpersonal Communication Skills in Special Education
ED-D417 - Skills for Effective Interpersonal Communication,ED-D,417,417 - Skills for Effective Interpersonal Communication
ED-D418 - Introduction to Theories of Counselling,ED-D,418,418 - Introduction to Theories of Counselling
ED-D420 - Learning Support: Context and Key Issues,ED-D,420,420 - Learning Support: Context and Key Issues
ED-D421 - Recognition and Assessment of Learning Needs,ED-D,421,421 - Recognition and Assessment of Learning Needs
ED-D422 - Management and Adaptation of the Classroom Environment,ED-D,422,422 - Management and Adaptation of the Classroom Environment
ED-D424 - Teaching Students with Developmental Disabilities,ED-D,424,424 - Teaching Students with Developmental Disabilities
ED-D425 - Assistive Technology in the Inclusive Classroom,ED-D,425,425 - Assistive Technology in the Inclusive Classroom
ED-D426 - Differentiating Instruction in the Inclusive Classroom,ED-D,426,426 - Differentiating Instruction in the Inclusive Classroom
ED-D427 - Collaboration and Consultation in Special Education,ED-D,427,427 - Collaboration and Consultation in Special Education
ED-D428 - Teaching Students with Specific Learning Disorders,ED-D,428,428 - Teaching Students with Specific Learning Disorders
ED-D445 - Successful University to Career Transition,ED-D,445,445 - Successful University to Career Transition
ED-D480 - Contemporary Topics in Education - Educational Psychology and Leadership Studies,ED-D,480,480 - Contemporary Topics in Education - Educational Psychology and Leadership Studies
ED-D487 - Special Topics in Education - Educational Psychology and Leadership Studies,ED-D,487,487 - Special Topics in Education - Educational Psychology and Leadership Studies
ED-D494 - Directed Studies,ED-D,494,494 - Directed Studies
ECE216 - Electricity and Magnetism,ECE,216,Electricity and Magnetism
ECE220 - Electrical Properties of Materials,ECE,220,Electrical Properties of Materials
ECE241 - Digital Design,ECE,241,Digital Design
ECE242 - Discrete Structures in Engineering,ECE,242,Discrete Structures in Engineering
ECE250 - Linear Circuits I,ECE,250,Linear Circuits I
ECE255 - Introduction to Computer Architecture,ECE,255,Introduction to Computer Architecture
ECE260 - Continuous-Time Signals and Systems,ECE,260,Continuous-Time Signals and Systems
ECE299 - Introduction to Electrical and Computer Engineering Design,ECE,299,Introduction to Electrical and Computer Engineering Design
ECE300 - Linear Circuits II,ECE,300,Linear Circuits II
ECE310 - Digital Signal Processing I,ECE,310,Digital Signal Processing I
ECE320 - Electronic Devices I,ECE,320,Electronic Devices I
ECE330 - Electronic Circuits I,ECE,330,Electronic Circuits I
ECE335 - Biosensors and Instrumentation,ECE,335,Biosensors and Instrumentation
ECE340 - Applied Electromagnetics and Photonics,ECE,340,Applied Electromagnetics and Photonics
ECE350 - Communications Theory and Systems I,ECE,350,Communications Theory and Systems I
ECE355 - Microprocessor-Based Systems,ECE,355,Microprocessor-Based Systems
ECE356 - Engineering System Software,ECE,356,Engineering System Software
ECE360 - Control Theory and Systems I,ECE,360,Control Theory and Systems I
ECE363 - Communication Networks,ECE,363,Communication Networks
ECE365 - Applied Electronics and Electrical Machines,ECE,365,Applied Electronics and Electrical Machines
ECE370 - Electromechanical Energy Conversion,ECE,370,Electromechanical Energy Conversion
ECE380 - Electronic Circuits II,ECE,380,Electronic Circuits II
ECE399 - Design Project I,ECE,399,Design Project I
ECE402 - Biomedical Imaging Modalities,ECE,402,Biomedical Imaging Modalities
ECE403 - Optimization for Machine Learning,ECE,403,Optimization for Machine Learning
ECE404 - Microwaves and Fiber Optics,ECE,404,Microwaves and Fiber Optics
ECE405 - Error Control Coding,ECE,405,Error Control Coding
ECE406 - Applied Cryptography,ECE,406,Applied Cryptography
ECE407 - Digital Signal Processing II,ECE,407,Digital Signal Processing II
ECE410 - Power Electronics,ECE,410,Power Electronics
ECE412 - Electronic Devices II,ECE,412,Electronic Devices II
ECE417 - Software Defined Radio,ECE,417,Software Defined Radio
ECE420 - Nanoelectronics,ECE,420,Nanoelectronics
ECE426 - Robotics,ECE,426,Robotics
ECE427 - Photovoltaics,ECE,427,Photovoltaics
ECE434 - Biophotonics,ECE,434,Biophotonics
ECE435 - Medical Image Processing,ECE,435,Medical Image Processing
ECE440 - Human Factors in Engineering,ECE,440,Human Factors in Engineering
ECE441 - Design of Digital and VLSI Systems,ECE,441,Design of Digital and VLSI Systems
ECE448 - Cyber-System Security,ECE,448,Cyber-System Security
ECE449 - Computer Systems and Architecture,ECE,449,Computer Systems and Architecture
ECE450 - Communications Theory and Systems II,ECE,450,Communications Theory and Systems II
ECE452 - Optical Communication Technology,ECE,452,Optical Communication Technology
ECE453 - Antennas and Propagation,ECE,453,Antennas and Propagation
ECE454 - Engineering Components for Wireless Systems,ECE,454,Engineering Components for Wireless Systems
ECE455 - Real Time Computer Systems Design Project,ECE,455,Real Time Computer Systems Design Project
ECE456 - Wireless and Mobile Communications,ECE,456,Wireless and Mobile Communications
ECE457 - Parallel and Cluster Computing,ECE,457,Parallel and Cluster Computing
ECE459 - Applications of Digital Signal Processing Techniques,ECE,459,Applications of Digital Signal Processing Techniques
ECE460 - Control Theory and Systems II,ECE,460,Control Theory and Systems II
ECE461 - Dynamics and Control of Switched Mode Power Supplies,ECE,461,Dynamics and Control of Switched Mode Power Supplies
ECE462 - Motor Drive Dynamics,ECE,462,Motor Drive Dynamics
ECE463 - Design and Analysis of Computer Networks,ECE,463,Design and Analysis of Computer Networks
ECE466 - System-on-Chip Engineering for Signal Processing,ECE,466,System-on-Chip Engineering for Signal Processing
